what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241926037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241928364
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383241938756
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241939473
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241939879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241941304
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241942510
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1383241945408
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383241946528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241947662
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241947823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241948132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241949380
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383241965182
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1383241967872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383241968944
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383241974217
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241983957
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383241985275
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1383241991373
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383242011646
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1383242019049
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383242023028
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242029507
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242032313
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383242056339
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242070334
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242071219
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242072097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242092112
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242095544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242191464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242192744
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242947323
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383242949413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1383243092984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383243184494
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1383243198627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1383243214649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1383243214852
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383243218892
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383243239110
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1383243265302
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1383243267798
